VideoFile,Name,Timestamp,Emotion
Rev_2/23-04-2019.mp4,Desconocido,92.0,sad
Rev_2/23-04-2019.mp4,Desconocido,93.0,angry
Rev_2/23-04-2019.mp4,Desconocido,93.0,fear
Rev_2/23-04-2019.mp4,albert_rivera,94.0,fear
Rev_2/23-04-2019.mp4,Desconocido,94.0,sad
Rev_2/23-04-2019.mp4,Desconocido,99.0,sad
Rev_2/23-04-2019.mp4,Desconocido,99.0,sad
Rev_2/23-04-2019.mp4,Desconocido,100.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,100.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,101.0,neutral
Rev_2/23-04-2019.mp4,Desconocido,101.0,sad
Rev_2/23-04-2019.mp4,Desconocido,102.0,sad
Rev_2/23-04-2019.mp4,Desconocido,102.0,happy
Rev_2/23-04-2019.mp4,albert_rivera,103.0,happy
Rev_2/23-04-2019.mp4,Desconocido,103.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,104.0,sad
Rev_2/23-04-2019.mp4,Desconocido,104.0,sad
Rev_2/23-04-2019.mp4,Desconocido,106.0,happy
Rev_2/23-04-2019.mp4,Desconocido,107.0,happy
Rev_2/23-04-2019.mp4,Desconocido,108.0,happy
Rev_2/23-04-2019.mp4,Desconocido,109.0,happy
Rev_2/23-04-2019.mp4,Desconocido,110.0,happy
Rev_2/23-04-2019.mp4,albert_rivera,111.0,happy
Rev_2/23-04-2019.mp4,albert_rivera,112.0,happy
Rev_2/23-04-2019.mp4,albert_rivera,113.0,sad
Rev_2/23-04-2019.mp4,pablo_iglesias,114.0,sad
Rev_2/23-04-2019.mp4,Desconocido,115.0,happy
Rev_2/23-04-2019.mp4,albert_rivera,116.0,sad
Rev_2/23-04-2019.mp4,Desconocido,117.0,sad
Rev_2/23-04-2019.mp4,pablo_iglesias,117.0,Unknown
Rev_2/23-04-2019.mp4,Desconocido,118.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,119.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,120.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,121.0,sad
Rev_2/23-04-2019.mp4,albert_rivera,123.0,neutral
Rev_2/23-04-2019.mp4,albert_rivera,124.0,neutral
Rev_2/23-04-2019.mp4,albert_rivera,125.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,125.0,happy
Rev_2/23-04-2019.mp4,albert_rivera,126.0,happy
Rev_2/23-04-2019.mp4,pedro_sanchez,126.0,neutral
Rev_2/23-04-2019.mp4,albert_rivera,127.0,happy
Rev_2/23-04-2019.mp4,pedro_sanchez,127.0,angry
Rev_2/23-04-2019.mp4,albert_rivera,128.0,happy
Rev_2/23-04-2019.mp4,pedro_sanchez,128.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,128.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,128.0,neutral
Rev_2/23-04-2019.mp4,albert_rivera,129.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,129.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,129.0,happy
Rev_2/23-04-2019.mp4,pablo_iglesias,130.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,130.0,angry
Rev_2/23-04-2019.mp4,albert_rivera,130.0,angry
Rev_2/23-04-2019.mp4,pedro_sanchez,130.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,131.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,131.0,happy
Rev_2/23-04-2019.mp4,pablo_iglesias,132.0,happy
Rev_2/23-04-2019.mp4,pablo_iglesias,132.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,132.0,angry
Rev_2/23-04-2019.mp4,pablo_iglesias,133.0,happy
Rev_2/23-04-2019.mp4,pablo_iglesias,133.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,133.0,angry
Rev_2/23-04-2019.mp4,pablo_iglesias,134.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,134.0,angry
Rev_2/23-04-2019.mp4,pedro_sanchez,134.0,happy
Rev_2/23-04-2019.mp4,pablo_casado,134.0,happy
Rev_2/23-04-2019.mp4,pablo_iglesias,135.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,135.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,135.0,neutral
Rev_2/23-04-2019.mp4,pablo_casado,136.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,136.0,happy
Rev_2/23-04-2019.mp4,pablo_casado,136.0,disgust
Rev_2/23-04-2019.mp4,pedro_sanchez,136.0,happy
Rev_2/23-04-2019.mp4,pablo_casado,137.0,angry
Rev_2/23-04-2019.mp4,pablo_casado,137.0,neutral
Rev_2/23-04-2019.mp4,pablo_iglesias,137.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,137.0,happy
Rev_2/23-04-2019.mp4,pablo_casado,138.0,angry
Rev_2/23-04-2019.mp4,pablo_casado,138.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,138.0,happy
Rev_2/23-04-2019.mp4,pablo_casado,139.0,neutral
Rev_2/23-04-2019.mp4,pablo_casado,139.0,happy
Rev_2/23-04-2019.mp4,pablo_casado,140.0,happy
Rev_2/23-04-2019.mp4,pablo_casado,140.0,angry
Rev_2/23-04-2019.mp4,pablo_iglesias,140.0,neutral
Rev_2/23-04-2019.mp4,pedro_sanchez,140.0,angry
Rev_2/23-04-2019.mp4,pablo_iglesias,141.0,happy
Rev_2/23-04-2019.mp4,pablo_casado,141.0,neutral
Rev_2/23-04-2019.mp4,pablo_casado,141.0,neutral
